Close,RSI,MACD,MACD_hist,Stoch_k,bid_ask_spread,log_return,rolling_std,total_depth,volume_imbalance,Ground Truth,Predicted
0.19491525423728717,0.7059428636574755,0.6568950572109014,0.4841551384206402,0.18785248135422114,0.00022379853382702847,0.38334558264839624,0.15906955144855917,0.022668301445638847,0.5922681832249918,Buy,Buy
0.19491525423728717,0.7059428636574755,0.6532886133009178,0.47922000130847875,0.2159663558910251,0.00022379853382702847,0.38334558264839624,0.16044260476130606,0.021955461777536996,0.5790611942455366,Buy,Buy
0.19491525423728717,0.7059428636574753,0.6498549894859372,0.47551765997337314,0.23283468061312818,0.00022379853382702847,0.38334558264839624,0.16178564871317241,0.01693707051409997,0.4547275863176082,Buy,Buy
0.19491525423728717,0.7059428636574755,0.646595895646212,0.47280398688949904,0.23283468061312818,0.00022379853382702847,0.38334558264839624,0.16309942464304972,0.014085711841692567,0.3447734700690277,Buy,Buy
0.19491525423728717,0.7059428636574755,0.6435106824862253,0.4708803250400837,0.23283468061312818,0.00022379853382702847,0.38334558264839624,0.16438463428997302,0.012061247184283311,0.2352953904649117,Buy,Sell
0.1927966101694949,0.5756841222294653,0.638381598993858,0.4664347969462856,0.2609456271969729,0.00022500702245838514,0.37500992476149636,0.16545186848902318,0.03230589375837587,0.4352693785920102,Buy,Buy
0.19491525423728717,0.6460239378331039,0.6361401652024943,0.4669849161076954,0.28905950173373696,0.00022500702245838514,0.3916812405352961,0.16668419975795018,0.046391605600068435,0.9902767581362735,Buy,Buy
0.19915254237288593,0.739157744015477,0.6384019391864467,0.47382904660095204,0.3171792321763397,0.00022379853382702847,0.4000162479982466,0.1683003610220796,0.026346554133044396,0.7830093432721883,Buy,Buy
0.19915254237288593,0.739157744015477,0.6397355706912147,0.4779844347557163,0.37341870184536397,0.00022379853382702847,0.38334558264839624,0.16987999459937486,0.02631804054632032,0.7838558713251012,Buy,Buy
0.19915254237288593,0.739157744015477,0.6403268269602356,0.48025300960133777,0.4296552435614688,0.00022379853382702847,0.38334558264839624,0.17142411027539894,0.030794673661999943,0.7875032423060944,Buy,Buy
0.19915254237288593,0.739157744015477,0.6403297122466143,0.4812311440477879,0.485885929371735,0.00022379853382702847,0.38334558264839624,0.17293365946526393,0.02794331498959254,0.8677000190859628,Buy,Buy
0.19915254237288593,0.739157744015477,0.639871590235598,0.4813580507331382,0.485885929371735,0.00022379853382702847,0.38334558264839624,0.17447728613341582,0.02708790738787032,0.8950444242779221,Hold,Buy
0.2012711864406782,0.7809078008804831,0.6412727616930306,0.4841036869789098,0.42965817151438807,0.00022259017079070617,0.3916805901341174,0.1761310734146492,0.01893302158478515,0.15014043015102724,Hold,Sell
0.2012711864406782,0.7809078008804831,0.6418994160330616,0.48519875116051164,0.3734304136570412,0.00022259017079070617,0.38334558264839624,0.17781573180123778,0.01893302158478515,0.15014043015102724,Sell,Sell
0.2012711864406782,0.7809078008804831,0.641912113607938,0.4852016914015584,0.31720265579969437,0.00022259017079070617,0.38334558264839624,0.17946455333444017,0.01893302158478515,0.15014043015102724,Sell,Sell
0.2012711864406782,0.7809078008804831,0.6414436462234492,0.4845197764068118,0.31720265579969437,0.00022259017079070617,0.38334558264839624,0.1810785169608966,0.01893302158478515,0.15014043015102724,Sell,Sell
0.2012711864406782,0.7809078008804831,0.6406035364048424,0.4834457297753763,0.31720265579969437,0.00022259017079070617,0.38334558264839624,0.18265854669216147,0.01893302158478515,0.15014043015102724,Hold,Sell
0.2012711864406782,0.780907800880483,0.6394818276403585,0.4821860291468471,0.31720265579969437,0.00022259017079070617,0.38334558264839624,0.18413598499978784,0.01893302158478515,0.15014043015102724,Buy,Sell
0.19915254237288593,0.6248872912043579,0.6359370151682727,0.47773236027735394,0.317199727846775,0.00022259017079070617,0.3750105751626751,0.18538623202753643,0.01893302158478515,0.15014043015102724,Buy,Sell
0.2012711864406782,0.6913073187570697,0.6349646778608247,0.4778277554732218,0.3171997278467751,0.00022259017079070617,0.3916805901341174,0.18680096420584727,0.02828547803028143,0.12876015579518724,Buy,Sell
0.19915254237288593,0.5805962250624265,0.6315883717986281,0.4744853751790746,0.37342747692026307,0.00022259017079070617,0.3750105751626751,0.18799439220547573,0.0342448176556129,0.433942128475926,Buy,Buy
0.19915254237288593,0.5805962250624265,0.6285823516135807,0.472338056412684,0.4296581539466705,0.00022259017079070617,0.38334558264839624,0.1891612929404042,0.03344643722733883,0.42045070678727076,Buy,Buy
0.19915254237288593,0.5805962250624266,0.6259006980865678,0.4710814849085208,0.48588590302015855,0.00022259017079070617,0.38334558264839624,0.19030215439340623,0.03709617632802031,0.2471248259959798,Buy,Sell
0.2012711864406782,0.6505034846560948,0.6257189988935775,0.4736314257468069,0.4858902949495374,0.00022259017079070617,0.3916805901341174,0.19160129062935352,0.026546149240112914,0.39659229858891093,Buy,Buy
0.20338983050847048,0.7036922078397871,0.6274980240274689,0.4784597346654732,0.4858990788082955,0.00022259017079070617,0.39168037335573613,0.1930643913516533,0.046876336574377696,0.5468215612321017,Hold,Buy
0.20338983050847048,0.7036922078397871,0.6285776946400778,0.4813278261036794,0.6546086776056733,0.00022259017079070617,0.38334558264839624,0.19449449735093974,0.04656268712041288,0.5505006788687669,Buy,Buy
0.20338983050847048,0.7036922078397873,0.6290971339827942,0.4828255914558383,0.8233138844736718,0.00022259017079070617,0.38334558264839624,0.19589233125945762,0.04627755125317214,0.5538885544659421,Hold,Hold
